sample_index,text,status,failure_case,error,speaker_similarity,mcd,stoi,log_f0_rmse,pesq,lsd,wer,ref_dur_sec,gen_dur_sec,dur_ratio,latency_sec,preprocessing_sec,synthesis_sec,asr_sec,metric_sec,backend_runtime_sec,total_wall_sec,peak_cpu_mem_mb,peak_gpu_mem_mb,output_samples,clipped,backend_load_sec
0,În străfundul ființei ei sălășluia probabil o orchestră de jazz care cânta ritmuri antrenante și melodii trepidante.,ok,,,0.8716087937355042,6.03399703890662,0.19120787100310938,0.40302645069415216,1.5303093194961548,1.8211592,0.11764705882352941,8.032,7.136,0.8884462151394422,4.717444255948067,0.005469899158924818,4.711644286988303,13.612436984898522,20.959251172840595,25.722183333011344,25.72218570788391,8713.54296875,882.41357421875,114176,False,6.292690522968769e-05
1,"Ești la fel de naivă cum am fost și eu, sărmana mea, Kumiko, și fără îndoială că ai să fii într-o zi la fel de dezamăgită ca mine.",ok,,,0.9126379489898682,5.651436767180688,0.14423523698236593,0.3739234865143709,1.0752836465835571,1.7270571,0.10714285714285714,8.192,7.232,0.8828125,5.0534162148833275,0.005576757015660405,5.047598436940461,18.067751136841252,29.760495744179934,34.84933866909705,34.849341043038294,8721.1796875,883.87255859375,115712,False,6.292690522968769e-05
2,"Uite, Kumiko, sunt foarte bolnavă și va trebui să stau mult timp la spital. Nu cred că o să te mai pot găzdui.",ok,,,0.8749485611915588,6.589470770121646,0.13040456185722535,0.6932231076981822,0.9825018644332886,2.1836324,0.13043478260869565,8.512,7.168,0.8421052631578947,5.423631144920364,0.005927011137828231,5.417364566819742,19.413451986853033,32.72199196717702,38.16785771213472,38.16786008607596,8722.375,887.8916015625,114688,False,6.292690522968769e-05
3,"Cu mic zâmbet, Olaf Pimps se-ntoarse spre camera de filmat și grăi de parcă s-ar fi găsit dintr-o dată în fața lui Baltazar Balsan.",ok,,,0.8691521883010864,5.541838116190741,0.20143805910288348,0.41026173363792207,1.1651808023452759,1.7442077,0.0,8.32,7.424,0.8923076923076924,5.299705339130014,0.007007454987615347,5.292333381948993,22.175103956833482,37.02111182687804,42.371729851933196,42.37173222703859,8733.8984375,887.01611328125,118784,False,6.292690522968769e-05
4,Lua în mâna noua carte din care librarii înălțaseră o piramidă de exemplare la fel de frumoasă ca un pom de Crăciun și începu să sporovoiască cu vecinele.,ok,,,0.8759158253669739,5.2101131463360275,0.16465339389592454,0.2078312944962443,1.1797702312469482,1.6214288,0.0,8.32,7.712,0.9269230769230768,5.124668568139896,0.0029753779526799917,5.121359558077529,25.83546497905627,38.91765775717795,44.05828603403643,44.0582872221712,8734.5625,886.984375,123392,False,6.292690522968769e-05
5,"Totuși, era mai bine să nu dau atenție acestui gen de remarcă și să mă servesc de frizerul cu pricina doar ca să mă ajute să-l ascund și mai mult.",ok,,,0.8669369220733643,6.468544167724227,0.13046665777644503,0.2600677129690749,1.4414275884628296,1.8951976,0.03333333333333333,8.64,7.328,0.8481481481481481,5.321608681930229,0.008033283986151218,5.313166965963319,24.59337876504287,36.95556089794263,42.32436719792895,42.32437076000497,8735.1640625,888.99169921875,117248,False,6.292690522968769e-05
6,"M-a luat un brațe și, deși mă zbăteam, m-a strâns cu tandrețe la piept. Te iubesc și nu vreau să te părăsesc.",ok,,,0.8694376945495605,5.866043079006062,0.09981954076565856,0.41986295965806325,0.5574619174003601,2.3467586,0.0,7.84,6.56,0.836734693877551,5.046766137937084,0.006270139943808317,5.040123185142875,27.268300716066733,37.91845073387958,43.00908767199144,43.009091233834624,8737.78125,880.9833984375,104960,False,6.292690522968769e-05
7,"Cercetându-se în oglinda mare din camera ei, constată că silueta ei, modelată de sport și de un regim macrobiotic, rezista cu succes.",ok,,,0.8885982036590576,5.2611709592429365,0.15655929488595488,0.32333727735846335,0.5111278295516968,1.8084872,0.0,8.896,7.904,0.8884892086330934,5.583876512013376,0.03661044919863343,5.546788766980171,21.691405540099367,35.26442529307678,40.88982887007296,40.889831244945526,8745.40234375,891.9013671875,126464,False,6.292690522968769e-05
8,"Fără să zăbovească la nicio emisiune, erau mai degrabă îmbătați de faptul că aveau atâtea programe decât atrași de ideea de a urmări unul la nume.",ok,,,0.8441649079322815,6.406176355401535,0.19652450530218463,0.48738693858737064,0.5490416884422302,1.6533446,0.07692307692307693,8.416,7.712,0.9163498098859315,5.385188688989729,0.007592794951051474,5.377214770996943,26.073949969140813,38.54231012100354,43.93927921890281,43.939281592844054,8747.109375,887.6083984375,123392,False,6.292690522968769e-05
9,"În vreme ce eu trăgeam cu ochiul la cămașa lui descheiată, care lăsa să-i se vadă pieptul păros, întrebându-mă dacă asta era o condiție ca să devii coafor.",ok,,,0.8356285095214844,5.866236248339531,0.25224169136020275,0.346323328161289,0.7380136251449585,1.6734741,0.0,8.544,7.872,0.9213483146067415,5.33908695098944,0.007649784907698631,5.331002613063902,27.75425619399175,39.343796973116696,44.73632437409833,44.736326748970896,8747.65234375,888.45654296875,125952,False,6.292690522968769e-05
