sample_index,text,status,failure_case,error,speaker_similarity,mcd,stoi,log_f0_rmse,pesq,lsd,wer,ref_dur_sec,gen_dur_sec,dur_ratio,latency_sec,preprocessing_sec,synthesis_sec,asr_sec,metric_sec,backend_runtime_sec,total_wall_sec,peak_cpu_mem_mb,peak_gpu_mem_mb,output_samples,clipped,backend_load_sec
0,"Nu doar că nu-și pierdu cunoștința, ci când deschise iarăși ochii, se văzu obligată să constate că se simțea mai bine.",ok,,,0.47770845890045166,7.004767374021528,0.18672903513077377,0.2673482017388236,1.3327032327651978,1.9412901,0.047619047619047616,6.848,6.016,0.8785046728971962,4.259272826020606,0.02478373609483242,4.21991139894817,14.226092700031586,17.75237173808273,22.021080051083118,22.0210824260721,15221.28125,5704.76318359375,96256,False,9.142199996858835e-05
1,"Alteori, de cum se ivea chipul zâmbitor al japonezei, se răzvrătea împotriva acelei intruziuni în agonia ei.",ok,,,0.48818695545196533,6.689366992187817,0.24123953253454614,0.2124535996108752,0.767119288444519,1.6386871,0.11764705882352941,7.072,7.008,0.9909502262443439,4.740552710019983,0.005097085959278047,4.735188480000943,13.938776365015656,18.84802090493031,23.63326483895071,23.633266026969068,15352.61328125,5698.78515625,112128,False,9.142199996858835e-05
2,"Uneori mă gândesc că ar fi fost mai bine să mă fi părăsit de-ndată ce am descoperit acest lucru, cu 17 ani în urmă.",ok,,,0.4912329614162445,6.768689161824616,0.16387764452282766,0.3546950518360906,0.7881981134414673,1.6762106,0.0,6.496,6.784,1.044334975369458,4.7050108320545405,0.004185239085927606,4.700527581037022,14.119661784963682,19.54709229595028,24.283273359993473,24.283274546964094,15381.21875,5688.60498046875,108544,False,9.142199996858835e-05
3,"""- Da."" ""- Dar mai repede, vă rog, când mi se lasă albușurile."" Apucă ceanta de voia și-l trase pe Baltazar înăuntru.",ok,,,0.40188953280448914,6.727063501942481,0.23679947948857893,0.3293636079736971,0.7727381587028503,1.8155558,0.18181818181818182,7.68,7.68,1.0,6.149218544946052,0.004369270987808704,6.14449427195359,14.418128071003594,21.552675266982988,27.750561311026104,27.750562497996725,15387.48046875,5716.26123046875,122880,False,9.142199996858835e-05
4,"Cel care era metr de hotel, i se adresă tinerei femei cu o curtoazie excesivă, numind-o Prințesă.",ok,,,0.42764848470687866,7.3720276880561455,0.11602584613978409,0.424308978579856,0.6211174130439758,1.6901424,0.17647058823529413,7.072,7.072,1.0,6.626152904005721,0.004945110995322466,6.620976267964579,12.341406726976857,20.705350258969702,27.361818537930958,27.361820913036354,15395.94140625,5705.68408203125,113152,False,9.142199996858835e-05
5,"Fără un plan în cap, fără o strategie prestabilită, trebuia să-mi coroborez ipoteza.",ok,,,0.31012460589408875,7.630306051665948,0.12602874516022047,0.30055580579926866,0.3906829357147217,1.8266743,0.0,5.216,5.76,1.1042944785276072,6.0173057600623,0.0041151869809255,6.01293530210387,12.591783731011674,19.3157750479877,25.37617036199663,25.376171550014988,15407.76953125,5650.28515625,92160,False,9.142199996858835e-05
6,"Abia cu tezân să-l atingă, de teamă că o stângăcie din partea ei l-ar fi putut face să dispară, îngăimase.",ok,,,0.5433833599090576,7.11866459954475,0.12250952441059396,0.2788754241619364,0.2669735848903656,1.7302365,0.35,7.136,6.624,0.9282511210762331,6.6229471899569035,0.00500803894829005,6.617708815028891,14.17302387394011,24.08784705598373,30.714256417937577,30.714257604908198,15413.37890625,5705.279296875,105984,False,9.142199996858835e-05
7,"Îl auzeam respirând greu atunci când urca scara ca să vină până în camera mea, unde mă încăpățâneam să rămân cu zilele.",ok,,,0.4616090655326843,7.10745130951414,0.29785132155004507,0.2716419787081132,0.6312099695205688,1.5977815,0.0,6.4,6.24,0.975,8.188154009985738,0.0044785019708797336,8.183386993012391,16.229603830957785,24.373543911031447,32.57619012601208,32.57619250100106,15415.23828125,5679.63134765625,99840,False,9.142199996858835e-05
8,"Cu siguranță, datorită faptului că aceste sentimente erau prezente în firea ei, le recunoștea iute la ceilalți.",ok,,,0.5690101385116577,6.253298260974572,0.28393616818854694,0.3532271212739743,1.3386439085006714,1.6440364,0.0,7.104,7.072,0.9954954954954955,8.60820118105039,0.006507601006887853,8.601412190007977,14.564435702050105,24.392771076061763,33.03343783598393,33.03344021004159,15418.84765625,5720.66796875,113152,False,9.142199996858835e-05
9,"Preț de câteva secunde, Elen își deschise brațele, își domoli respirația și se pregăti să se stingă.",ok,,,0.39464837312698364,6.34211029981095,0.15959369605208676,0.4447804268018248,1.7913700342178345,1.8931068,0.058823529411764705,8.128,6.272,0.7716535433070867,8.01663640094921,0.007374332053586841,8.008958120946772,14.5697417530464,25.959343294030987,34.00386110204272,34.00386347598396,15420.9765625,5732.6328125,100352,False,9.142199996858835e-05
10,Va ține piept cu înverșunare cât va putea de mult spre a evita să-și rea locul în ferma familiei.,ok,,,0.3522704839706421,7.900390894678719,0.2742417158530272,0.4076232445300861,0.3749765157699585,1.597264,0.21052631578947367,5.568,5.536,0.9942528735632183,7.228251424967311,0.0038124260026961565,7.224137424025685,14.564149562036619,22.85141358396504,30.100477222003974,30.100478408974595,15432.109375,5663.48486328125,88576,False,9.142199996858835e-05
11,"Pentru că era de o origine modestă, pentru că era de o inteligență medie, pentru că venea cu autobuzul de la Charleroi, oraș minier dezafectat, îi făcu plăcere să descopere că le e superioară celor din Bruxelles, măcar ca față.",ok,,,0.4579320549964905,9.13862719220909,0.1577931973085374,0.41733397904111835,0.2164689153432846,1.9387316,0.4,13.792,17.248,1.2505800464037125,28.571050925995223,0.006325943977572024,28.564362855046056,23.783916808082722,49.141498774057254,77.76512104703579,77.7651246089954,15435.95703125,5877.87060546875,275968,False,9.142199996858835e-05
12,Odil era atât de zguduită de durere că printre strigăte și lacri nu mai pricepun nimic din ce îi se spune.,ok,,,0.386700838804245,7.781880703584283,0.104159896529802,0.4412837122647129,-0.03223014995455742,2.4291582,0.3333333333333333,5.952,7.584,1.2741935483870968,8.975314878975041,0.004288533935323358,8.970704586012289,15.42530663695652,26.47815141105093,35.469116113032214,35.469118488021195,15442.109375,5671.9296875,121344,False,9.142199996858835e-05
13,"La un an după căsătoria pe care o descria drept cea mai frumoasă zi a vieții ei, adusese pe lume un copil care îi se păru urât și bleg atunci când îl arătară.",ok,,,0.2831171154975891,8.525744400256626,0.13837130179491502,0.37243332663083156,0.3924996852874756,1.7672851,0.12121212121212122,10.464,10.112,0.9663608562691132,12.164285053964704,0.005126769072376192,12.158853148925118,20.761143942014314,37.38878593000118,49.55715292796958,49.557154114940204,15443.25390625,5796.333984375,161792,False,9.142199996858835e-05
14,O obligase să insinueze că tabloul ei semnat de Picasso era fals ca să o facă să creadă că era vorba de unul adevărat.,ok,,,0.3837381601333618,6.504543465403558,0.06308324675384383,0.2716737078206948,0.35215598344802856,1.5489054,0.041666666666666664,6.24,6.528,1.046153846153846,6.7823305749334395,0.004593670950271189,6.777413958916441,18.02243776503019,26.41733069100883,33.23071039398201,33.23071158095263,15444.91015625,5688.4951171875,104448,False,9.142199996858835e-05
15,"Se menținea în formă, purta mereu același lucruri și aștepta noaptea ca pe o eliberare.",ok,,,0.3222748339176178,7.531493340113522,0.18230433817071123,0.2269227903521196,1.398604154586792,2.1307888,0.06666666666666667,6.176,5.28,0.8549222797927462,6.962472743936814,0.07852338801603764,6.883397260913625,17.228657690924592,25.087658414966427,32.063667585956864,32.063668772927485,15446.91015625,5669.70361328125,84480,False,9.142199996858835e-05
16,"În fiecare zi veneau la David oameni ca să-l ajute, până când tabăra lui a ajuns ca tabăra lui Dumnezeu.",ok,,,0.5588289499282837,7.026375242171152,0.15564921725301312,0.22928840320379293,2.175680160522461,2.7326927,0.0,7.52,6.24,0.8297872340425533,6.5639454170595855,0.004571111989207566,6.559090540045872,19.105762740946375,27.91157723602373,34.526398533023894,34.52640090708155,15375.94140625,5711.71337890625,99840,False,9.142199996858835e-05
17,"El a făcut ceea ce este rău înaintea ochilor Domnului și a umblat pe calea tatălui său, pe calea mamei sale și pe calea lui Ieroboam, fiul lui Nebat, cel care l-a făcut pe Israel să păcătuiască.",ok,,,0.549848198890686,6.3709185032407545,0.1671190813672335,0.21055571542833032,1.6644058227539062,2.5718408,0.08108108108108109,13.024,12.864,0.9877149877149879,14.626646750955842,0.007398077053949237,14.618934038910083,26.011461090995,43.257391645922326,57.923112496966496,57.92311487195548,15376.53515625,5866.79541015625,205824,True,9.142199996858835e-05
18,"Duceți-vă la munte și aduceți ramuri de măslin, ramuri de măslin sălbatic, ramuri de mirt, ramuri de palmier și ramuri de alți copaci stufoși, ca să faceți corturi așa cum este scris.",ok,,,0.683908998966217,8.683746716299526,0.19189633604796402,0.31565271425828223,1.662681221961975,2.6201117,0.375,14.432,8.704,0.6031042128603105,9.287105064024217,0.004947486915625632,9.281839380972087,18.952658994938247,33.08330925810151,42.421090735006146,42.421093109063804,15379.953125,5909.21240234375,139264,False,9.142199996858835e-05
19,"Ahab, regele lui Israel, l-a întrebat pe Jehoșafat, regele lui Iuda.",ok,,,0.499312162399292,6.117112202931132,0.10822609971196834,0.25805752499769696,2.11942195892334,2.4136844,0.0,5.248,4.896,0.9329268292682926,5.5371241309912875,0.005013975081965327,5.531869133003056,15.382233703974634,22.01976808300242,27.57885848300066,27.578859670902602,15381.52734375,5646.34375,78336,True,9.142199996858835e-05
20,"Efah, țiitoarea lui Caleb, i-a născut pe Haran, pe Moța și pe Gazez.",ok,,,0.6317716836929321,7.13062336328888,0.31967269698550665,0.24790276250243362,1.5790601968765259,2.1203613,0.23076923076923078,5.76,5.28,0.9166666666666667,6.7809556788997725,0.005179009982384741,6.77539435797371,16.674742248957045,23.426600724924356,30.25277835293673,30.25277953990735,15382.16015625,5660.306640625,84480,True,9.142199996858835e-05
21,"În ziua aceea, Deborah și Barak, fiul lui Abinoam, au cântat zicând, Când căpetenile s-au așezat în fruntea lui Israel, poporul a mers de bunăvoie.",ok,,,0.6150140762329102,6.03160822173669,0.19623432656093706,0.2073983870276232,1.6955995559692383,2.2756329,0.0,11.104,10.752,0.9682997118155621,12.492095503024757,0.004339586943387985,12.487453153007664,21.28389389999211,35.85742433404084,48.38180731900502,48.38180850702338,15382.8125,5815.05517578125,172032,False,9.142199996858835e-05
22,"Soția omului a luat-o în velitoare, a întins-o peste gura fântânii și a împrăștiat niște grâne pe ea.",ok,,,0.5930810570716858,6.603255003738295,0.2470968464949157,0.2592253764582669,1.7351670265197754,2.737614,0.05555555555555555,6.784,6.208,0.9150943396226415,7.074578961008228,0.0035880260402336717,7.0706620530691,21.095035748905502,29.400675641023554,36.48307892109733,36.48308129503857,15386.1875,5693.689453125,99328,True,9.142199996858835e-05
23,"În zilele sale, faraonul Neco, regele Egiptului, a venit la râul Eufrat la împăratul Asiriei.",ok,,,0.575552225112915,6.035415859102666,0.19662175097706894,0.25547746275388244,2.0854246616363525,2.433455,0.06666666666666667,7.616,7.232,0.9495798319327732,8.688687179004773,0.004794324049726129,8.683579407050274,18.387221977929585,28.809204659075476,37.502329971059225,37.502332346048206,15387.640625,5724.57421875,115712,True,9.142199996858835e-05
24,"Semințiile lui Israel au trimis niște bărbați prin toate familiile lui Beniamin să le spună, Ce înseamnă răul acesta care a avut loc printre voi?",ok,,,0.6239637136459351,7.434469532176545,0.09327479944979492,0.2433169984716284,1.3940409421920776,2.2440784,0.24,9.76,9.888,1.0131147540983607,12.402157395961694,0.004131809924729168,12.397788124973886,19.037561755045317,34.46520025189966,46.90028389892541,46.90028627391439,15389.91796875,5768.677734375,158208,False,9.142199996858835e-05
25,"Când a văzut poporul, Gaal i-a zis lui Zebul, Iată un popor care coboară dinspre vârfurile munților.",ok,,,0.5804915428161621,6.329755813135296,0.20544394489946985,0.18198617116873714,1.7967889308929443,2.1013815,0.058823529411764705,6.624,6.528,0.9855072463768115,7.544194792048074,0.0039121590089052916,7.540045172092505,19.21068815793842,27.532165467971936,35.11302532500122,35.11302651197184,15398.15234375,5693.24609375,104448,True,9.142199996858835e-05
